seed_id,question,expected_answer,candidate_answer,keywords,question_type,quality_label,quality_score
1,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"Python is a high-level programming language known for its simple and readable syntax. It is widely used in web development, automation, data science, artificial intelligence, and machine learning.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Excellent,100
2,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,Python is a high-level programming language with simple syntax. It is easy to learn and is used in many different applications.,"['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Good,75
3,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,Python is a programming language used to develop software and applications.,"['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Average,50
4,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,Python is a language used for programming.,"['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Poor,25
5,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,"A list is a mutable and ordered collection in Python that can store multiple values, including duplicate elements and values of different data types.","['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Excellent,100
6,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,A Python list is an ordered collection that can store multiple values and can be modified after creation.,"['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Good,75
7,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,A list stores multiple values in Python.,"['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Average,50
8,What is a list in Python?,A list is a mutable ordered collection in Python that can store multiple values and allows duplicate elements.,A list is something used in Python.,"['list', 'mutable', 'ordered', 'collection', 'duplicate']",Python,Poor,25
9,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions or decisions without being explicitly programmed for every task.,"['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Excellent,100
10,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,Machine learning is a part of artificial intelligence where computers learn from data and use the learned patterns to make predictions.,"['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Good,75
11,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,Machine learning allows computers to learn from data.,"['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Average,50
12,What is machine learning?,Machine learning is a branch of artificial intelligence that enables computers to learn patterns from data and make predictions.,Machine learning is related to computers.,"['machine learning', 'artificial intelligence', 'learn', 'patterns', 'data', 'predictions']",Machine Learning,Poor,25
13,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,Supervised learning is a machine learning approach where a model learns from labeled training data and uses those learned patterns to make predictions on new unseen data.,"['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Excellent,100
14,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,Supervised learning trains a machine learning model using labeled data so that it can predict outcomes for new data.,"['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Good,75
15,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,Supervised learning uses data to train a model and make predictions.,"['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Average,50
16,What is supervised learning?,Supervised learning is a machine learning approach where a model learns from labeled training data to make predictions on new data.,It is a type of machine learning.,"['supervised learning', 'machine learning', 'labeled', 'training data', 'predictions']",Machine Learning,Poor,25
17,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,"Unsupervised learning is a machine learning approach that discovers patterns, groups, or structures in data without using labeled target values.","['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Excellent,100
18,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,Unsupervised learning finds useful patterns or groups in data when labeled output values are not available.,"['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Good,75
19,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,It allows a model to find patterns in data without labels.,"['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Average,50
20,What is unsupervised learning?,Unsupervised learning is a machine learning approach that finds patterns or structures in data without using labeled target values.,It is another type of machine learning.,"['unsupervised learning', 'machine learning', 'patterns', 'structures', 'unlabeled']",Machine Learning,Poor,25
21,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.","Overfitting occurs when a machine learning model learns the training data too closely, including noise, and therefore performs very well on training data but poorly on unseen data.","['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Excellent,100
22,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.",Overfitting happens when a model fits the training data too closely and performs poorly when given new unseen data.,"['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Good,75
23,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.",Overfitting means a model learns the training data too much.,"['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Average,50
24,What is overfitting in machine learning?,"Overfitting occurs when a machine learning model learns the training data too closely, including noise, and performs poorly on unseen data.",It is a problem with machine learning models.,"['overfitting', 'model', 'training data', 'noise', 'unseen data']",Machine Learning,Poor,25
25,What is SQL?,"SQL is a structured query language used to store, retrieve, manipulate, and manage data in relational databases.","SQL stands for Structured Query Language and is used to store, retrieve, manipulate, and manage data in relational database systems.","['SQL', 'structured query language', 'relational database', 'retrieve', 'manage data']",SQL,Excellent,100
26,What is SQL?,"SQL is a structured query language used to store, retrieve, manipulate, and manage data in relational databases.",SQL is a language used to communicate with relational databases and perform operations on stored data.,"['SQL', 'structured query language', 'relational database', 'retrieve', 'manage data']",SQL,Good,75
27,What is SQL?,"SQL is a structured query language used to store, retrieve, manipulate, and manage data in relational databases.",SQL is used to work with databases.,"['SQL', 'structured query language', 'relational database', 'retrieve', 'manage data']",SQL,Average,50
28,What is SQL?,"SQL is a structured query language used to store, retrieve, manipulate, and manage data in relational databases.",SQL is a programming language.,"['SQL', 'structured query language', 'relational database', 'retrieve', 'manage data']",SQL,Poor,25
29,What is a primary key in SQL?,A primary key is a column or combination of columns that uniquely identifies each record in a database table.,A primary key is a column or combination of columns that uniquely identifies each record in a database table. It cannot contain duplicate values and normally cannot contain NULL values.,"['primary key', 'unique', 'record', 'table', 'database']",SQL,Excellent,100
30,What is a primary key in SQL?,A primary key is a column or combination of columns that uniquely identifies each record in a database table.,A primary key uniquely identifies each record in a database table and prevents duplicate values.,"['primary key', 'unique', 'record', 'table', 'database']",SQL,Good,75
31,What is a primary key in SQL?,A primary key is a column or combination of columns that uniquely identifies each record in a database table.,A primary key identifies records in a table.,"['primary key', 'unique', 'record', 'table', 'database']",SQL,Average,50
32,What is a primary key in SQL?,A primary key is a column or combination of columns that uniquely identifies each record in a database table.,It is something used in SQL.,"['primary key', 'unique', 'record', 'table', 'database']",SQL,Poor,25
33,What is database normalization?,Database normalization is the process of organizing data in tables to reduce redundancy and improve data integrity.,"Database normalization is the process of organizing data into related tables to reduce redundancy, avoid data anomalies, and improve data integrity.","['normalization', 'database', 'tables', 'redundancy', 'data integrity']",SQL,Excellent,100
34,What is database normalization?,Database normalization is the process of organizing data in tables to reduce redundancy and improve data integrity.,Normalization organizes database data into tables to reduce duplicate data and improve consistency.,"['normalization', 'database', 'tables', 'redundancy', 'data integrity']",SQL,Good,75
35,What is database normalization?,Database normalization is the process of organizing data in tables to reduce redundancy and improve data integrity.,Normalization is a way of organizing data in a database.,"['normalization', 'database', 'tables', 'redundancy', 'data integrity']",SQL,Average,50
36,What is database normalization?,Database normalization is the process of organizing data in tables to reduce redundancy and improve data integrity.,It is related to databases.,"['normalization', 'database', 'tables', 'redundancy', 'data integrity']",SQL,Poor,25
37,What is object-oriented programming?,Object-oriented programming is a programming paradigm based on objects and classes that combines data and behavior.,"Object-oriented programming is a programming paradigm based on objects and classes. It combines data and behavior and commonly uses concepts such as inheritance, encapsulation, polymorphism, and abstraction.","['object-oriented programming', 'objects', 'classes', 'data', 'behavior', 'paradigm']",OOP,Excellent,100
38,What is object-oriented programming?,Object-oriented programming is a programming paradigm based on objects and classes that combines data and behavior.,OOP is a programming approach that uses objects and classes to organize data and behavior.,"['object-oriented programming', 'objects', 'classes', 'data', 'behavior', 'paradigm']",OOP,Good,75
39,What is object-oriented programming?,Object-oriented programming is a programming paradigm based on objects and classes that combines data and behavior.,OOP is a programming method that uses objects.,"['object-oriented programming', 'objects', 'classes', 'data', 'behavior', 'paradigm']",OOP,Average,50
40,What is object-oriented programming?,Object-oriented programming is a programming paradigm based on objects and classes that combines data and behavior.,It is related to programming.,"['object-oriented programming', 'objects', 'classes', 'data', 'behavior', 'paradigm']",OOP,Poor,25
41,What is inheritance in OOP?,Inheritance is an object-oriented programming concept where a class can acquire properties and methods from another class.,"Inheritance is an object-oriented programming concept where a class can acquire properties and methods from another class, allowing code reuse and creating relationships between classes.","['inheritance', 'object-oriented programming', 'class', 'properties', 'methods']",OOP,Excellent,100
42,What is inheritance in OOP?,Inheritance is an object-oriented programming concept where a class can acquire properties and methods from another class.,Inheritance allows one class to reuse or acquire properties and methods from another class.,"['inheritance', 'object-oriented programming', 'class', 'properties', 'methods']",OOP,Good,75
43,What is inheritance in OOP?,Inheritance is an object-oriented programming concept where a class can acquire properties and methods from another class.,Inheritance allows classes to get features from another class.,"['inheritance', 'object-oriented programming', 'class', 'properties', 'methods']",OOP,Average,50
44,What is inheritance in OOP?,Inheritance is an object-oriented programming concept where a class can acquire properties and methods from another class.,Inheritance is an OOP concept.,"['inheritance', 'object-oriented programming', 'class', 'properties', 'methods']",OOP,Poor,25
45,What is encapsulation in OOP?,Encapsulation is an object-oriented programming concept that combines data and methods inside a class and restricts direct access to internal data.,Encapsulation is an object-oriented programming concept that combines data and methods inside a class and controls access to the internal data through appropriate interfaces.,"['encapsulation', 'object-oriented programming', 'data', 'methods', 'class']",OOP,Excellent,100
46,What is encapsulation in OOP?,Encapsulation is an object-oriented programming concept that combines data and methods inside a class and restricts direct access to internal data.,Encapsulation combines data and methods within a class and helps control access to the internal data.,"['encapsulation', 'object-oriented programming', 'data', 'methods', 'class']",OOP,Good,75
47,What is encapsulation in OOP?,Encapsulation is an object-oriented programming concept that combines data and methods inside a class and restricts direct access to internal data.,Encapsulation keeps data and methods together inside a class.,"['encapsulation', 'object-oriented programming', 'data', 'methods', 'class']",OOP,Average,50
48,What is encapsulation in OOP?,Encapsulation is an object-oriented programming concept that combines data and methods inside a class and restricts direct access to internal data.,It is an OOP concept.,"['encapsulation', 'object-oriented programming', 'data', 'methods', 'class']",OOP,Poor,25
49,What is data preprocessing?,Data preprocessing is the process of cleaning and transforming raw data into a suitable format for analysis or machine learning.,"Data preprocessing is the process of cleaning and transforming raw data into a suitable format for analysis or machine learning. It can include handling missing values, removing duplicates, encoding categorical variables, and scaling numerical features.","['data preprocessing', 'cleaning', 'transforming', 'raw data', 'machine learning']",Data Science,Excellent,100
50,What is data preprocessing?,Data preprocessing is the process of cleaning and transforming raw data into a suitable format for analysis or machine learning.,Data preprocessing involves cleaning and transforming raw data before using it for analysis or machine learning.,"['data preprocessing', 'cleaning', 'transforming', 'raw data', 'machine learning']",Data Science,Good,75
