seed_id,variation_id,question,expected_answer,candidate_answer,keywords,question_type,quality_label,quality_score
1,0,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"Python is a high-level programming language known for its simple and readable syntax. It is widely used in web development, automation, data science, artificial intelligence, and machine learning.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Excellent,100
1,1,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"In general, Python is a high-level programming language known for its simple and readable syntax. It is widely used in web development, automation, data science, artificial intelligence, and machine learning.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Excellent,100
1,2,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"In simple terms, Python is a high-level programming language known for its simple and readable syntax. It is widely used in web development, automation, data science, artificial intelligence, and machine learning.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Excellent,100
1,3,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"From a technical perspective, Python is a high-level programming language known for its simple and readable syntax. It is widely used in web development, automation, data science, artificial intelligence, and machine learning.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Excellent,100
1,4,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"Overall, Python is a high-level programming language known for its simple and readable syntax. It is widely used in web development, automation, data science, artificial intelligence, and machine learning.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Excellent,100
2,0,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,Python is a high-level programming language with simple syntax. It is easy to learn and is used in many different applications.,"['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Good,75
2,1,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"In general, Python is a high-level programming language with simple syntax. It is easy to learn and is used in many different applications.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Good,75
2,2,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"In simple terms, Python is a high-level programming language with simple syntax. It is easy to learn and is used in many different applications.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Good,75
2,3,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"From a technical perspective, Python is a high-level programming language with simple syntax. It is easy to learn and is used in many different applications.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Good,75
2,4,What is Python?,Python is a high-level programming language known for its simple syntax and readability.,"Overall, Python is a high-level programming language with simple syntax. It is easy to learn and is used in many different applications.","['python', 'high-level', 'programming language', 'syntax', 'readability']",Python,Good,75
